index,file,bbox,class,size (cm)
0,26_05_21-B20,"[2272.628996958517, 1685.2591150516498, 837.9792848104512, 636.7408849483502]",Sepia officinalis,8.435085094
1,26_05_21-B25,"[1807.393678506843, 1585.7146585117644, 1094.7563626768208, 1148.664819929846]",Mullus barbatus,16.2114197
2,26_05_21-B25,"[2648.726235342625, 1368.0723135423739, 345.682395567459, 1272.4069667767778]",Mullus barbatus,14.42297724
3,26_05_21-B25,"[2845.1096085383197, 1180.704037335252, 426.91817629436355, 1416.7005403287812]",Mullus barbatus,15.60494532
4,26_05_21-B25,"[3192.0335090997633, 1235.4288323372514, 337.19319681438674, 1323.866471583757]",Mullus barbatus,14.82935688
5,26_05_21-B25,"[2927.8783748472597, 357.1229386409866, 304.8994422830792, 1252.2395491008394]",Mullus barbatus,14.92640121
6,26_05_21-B25,"[2619, 338.857915443438, 293.8694607532011, 1253.142084556562]",Mullus barbatus,14.94839259
7,26_05_21-B25,"[1719.554610116563, 1380.124959908896, 774.3374942710586, 563.975808327421]",Sepia officinalis,7.685073671
8,26_05_21-B25,"[1440.1360670147146, 1080.3214756084956, 803.179821503732, 639.5994097921778]",Sepia officinalis,7.965605771
9,26_05_21-B25,"[494, 1562, 977, 772.7439937317663]",Sepia officinalis,9.558394523
10,26_05_21-B25,"[664.8459546837964, 395.0562185168565, 742.6550691704556, 909.5070891162409]",Sepia officinalis,10.24372534
11,26_05_21-B25,"[1180.448943312677, 583.1303118072359, 614.3594482064952, 568.2589689383204]",Sepia officinalis,5.955258122
12,26_05_21-B25,"[1544, 171.0431693637797, 923.5258296718589, 596.9568306362203]",Sepia officinalis,10.21921621
13,26_05_21-B30,"[506, 162, 776, 1635.907062919484]",Spicara maena,20.38549212
14,26_05_21-B30,"[888.9748257001685, 296, 949.0251742998315, 1244]",Pagellus erythrinus,17.32478455
15,26_05_21-B30,"[1648.7593578910733, 453.0134841261, 562.0, 1437.9999999999995]",Pagellus erythrinus,18.10788354
16,26_05_21-B30,"[532.9602164504867, 1449.976677113319, 606.6868738713425, 1377.3431731133182]",Diplodus anularis,15.7471843
17,26_05_21-B30,"[1443.5724881272556, 1364.4363784015598, 423.3491823594968, 1249.76734672594]",Diplodus anularis,13.67604198
18,26_05_21-B9,"[521, 1532, 498, 1201]",Diplodus anularis,13.3762512
19,26_05_21-B9,"[1009.7398484859973, 2166.2501915906937, 1727.2778518547962, 527.6916567363751]",Symphodus tinca H,20.01909301
20,26_05_21-B9,"[2255.4647633224045, 1201.9683152780256, 937.062803083732, 1200.4941131875928]",Pagellus erythrinus,18.10758014
21,26_05_21-B9,"[2351, 879.6828040961296, 1426, 415.31719590387036]",Symphodus tinca H,17.81835752
22,26_05_21-B9,"[2075.922519760261, 585, 1341.5807368254373, 433.3214227036317]",Symphodus tinca H,17.1975418
23,26_05_21-B9,"[609.7121508887647, 266.1757721882396, 1356.2226860864735, 957.0940877787427]",Symphodus tinca M,19.27887286
24,26_05_21-B9,"[580.7163838360466, 589, 699.0110665997624, 1546.752246162932]",Symphodus tinca M,19.17072829
25,26_05_21-B14,"[1006, 756, 432, 1615]",Serranus scriba,17.56926835
26,26_05_21-B14,"[2000, 2156.265098819598, 1422.891411099194, 547.7349011804022]",Scorpaena porcus,16.9824519
27,26_05_21-B7,"[884, 2211, 1981.6677223527568, 580]",Symphodus tinca H,24.44381407
28,26_05_21-B7,"[688.9853201302483, 427.0727982909291, 542.4853573831979, 1826.927201709071]",Symphodus tinca H,22.32865158
29,26_05_21-B7,"[1031.031250877194, 180.47095659903817, 577.318916356566, 1722.5290434009619]",Serranus scriba,22.30270391
30,26_05_21-B7,"[1551, 634.694928812566, 505.2942692077954, 1583.305071187434]",Symphodus tinca M,19.52577634
31,26_05_21-B7,"[1812.164252078808, 614.4417668865372, 667.835747921192, 1598.5582331134628]",Symphodus tinca H,20.62046077
32,26_05_21-B7,"[2398.224834389013, 423.46643563353507, 577.2447878997732, 1796.5335643664648]",Symphodus tinca H,23.38093893
33,26_05_21-B7,"[2921, 687.122195823254, 599.9875402924154, 2022.877804176746]",Symphodus tinca M,25.3990393
34,26_05_21-B27,"[623.7488080186449, 370, 2861.251191981355, 371]",Sphyraena sphyraena,38.68456701
35,26_05_21-B27,"[293.3167203293574, 983, 804.7445394171621, 1604]",Pagellus erythrinus,21.36474667
36,26_05_21-B3,"[648.5380293492765, 572.1236946835324, 1188.817670882718, 578.8763053164676]",Diplodus anularis,14.55841888
37,26_05_21-B3,"[2023.4926370880046, 263.53553823898056, 455.9999999999943, 1301.9999999999836]",Diplodus anularis,15.30510391
